Date,Open,High,Low,Close,Adj Close,Volume
2019-12-16,58.500000,58.630001,58.119999,58.340000,56.697479,2467800
2019-12-17,58.990002,59.270000,58.830002,59.029999,57.368053,5526000
2019-12-18,59.410000,59.759998,59.240002,59.310001,57.640171,4693400
2019-12-19,59.900002,59.950001,59.680000,59.740002,58.058064,2632800
2019-12-20,59.349998,59.430000,58.919998,59.090000,57.426365,2626500
2019-12-23,58.939999,59.599998,58.880001,59.580002,57.902569,1751900
2019-12-24,59.560001,59.799999,59.549999,59.759998,58.077499,1178900
2019-12-26,59.650002,60.110001,59.610001,59.900002,58.213562,982700
2019-12-27,60.340000,60.369999,60.040001,60.099998,58.407928,1492200
2019-12-30,59.950001,60.040001,59.549999,59.630001,57.951160,1688700
2019-12-31,59.520000,59.990002,59.520000,59.970001,58.281590,1169000
2020-01-02,60.369999,60.689999,60.119999,60.680000,58.971596,1557200
2020-01-03,60.779999,61.419998,60.759998,61.330002,59.603302,3229200
2020-01-06,61.970001,62.270000,61.730000,61.980000,60.234997,2316400
2020-01-07,61.380001,61.540001,60.930000,61.520000,59.787949,2339400
2020-01-08,60.959999,61.009998,60.540001,60.910000,59.195126,3524400
2020-01-09,60.500000,60.869999,60.099998,60.770000,59.059063,2063300
2020-01-10,60.470001,60.470001,60.070000,60.090000,58.398212,1692500
2020-01-13,59.900002,60.259998,59.639999,60.160000,58.466236,2947100
2020-01-14,60.060001,60.310001,59.759998,60.279999,58.582855,2080700
2020-01-15,60.310001,60.490002,60.020000,60.419998,58.718918,2392200
2020-01-16,60.540001,60.650002,59.849998,60.139999,58.446800,3215300
2020-01-17,60.000000,60.049999,59.759998,59.790001,58.106659,2898900
2020-01-21,58.990002,59.020000,58.529999,58.549999,56.901566,6330000
2020-01-22,58.740002,58.750000,58.279999,58.459999,56.814098,4405200
2020-01-23,58.139999,58.650002,57.799999,58.570000,56.921001,2689300
2020-01-24,58.660000,58.680000,58.180000,58.459999,56.814098,2195400
2020-01-27,57.259998,57.549999,56.849998,57.110001,55.502110,3353600
2020-01-28,56.759998,56.959999,56.669998,56.779999,55.181400,4860500
2020-01-29,56.500000,56.570000,56.060001,56.320000,54.734352,4219900
2020-01-30,54.900002,54.970001,54.119999,54.849998,53.305737,5247400
2020-01-31,53.770000,53.939999,53.000000,53.279999,51.779942,5260200
2020-02-03,52.340000,52.470001,51.580002,51.689999,50.234703,6117200
2020-02-04,52.650002,52.980000,52.279999,52.349998,50.876122,4105500
2020-02-05,53.500000,53.619999,53.180000,53.410000,51.906281,4830300
